player_id,player,role,age,bat_hand,bowl_type,is_spinner,is_pacer,is_overseas,injury_risk,is_pp_bowler,is_death_bowler,is_pp_batter,is_death_hitter
58,Mark Brook,BOWL,29,R,SPIN,1,0,0,0.528,1,1,0,0
59,Sam Brook,BAT,22,R,,0,0,0,0.268,0,0,0,0
60,Sam Pope,BAT,30,R,,0,0,0,0.515,0,0,0,0
61,Ishan Kohli,BOWL,21,R,PACE,0,1,0,0.277,1,1,0,0
62,Joe Roy,BOWL,18,R,SPIN,1,0,0,0.404,1,1,0,0
63,Lance Short,BOWL,31,R,PACE,0,1,0,0.644,0,0,0,0
64,Jacob Nicholls,AR,28,L,PACE,0,1,0,0.51,0,0,0,0
65,Temba Rickelton,BOWL,33,R,SPIN,1,0,1,0.644,1,1,0,0
66,Haris Khushdil,BOWL,25,R,SPIN,1,0,0,0.335,1,0,0,0
67,Dimuth Nissanka,BOWL,35,R,SPIN,1,0,0,0.428,0,0,0,0
68,Shimron Holder,BAT,26,R,,0,0,0,0.223,0,0,0,0
69,Dom Crawley,BAT,33,L,,0,0,0,0.68,0,0,0,0
70,Jonny Root,BOWL,20,R,SPIN,1,0,0,0.256,0,0,0,0
71,James Ahmed,BAT,20,R,,0,0,1,0.28,0,0,1,1
72,Jack Brook,BOWL,34,L,SPIN,1,0,0,0.695,1,1,0,0
73,Mohammed Chahal,AR,35,L,PACE,0,1,0,0.513,0,0,0,0
74,Dom Wood,BAT,37,L,,0,0,1,0.344,0,0,1,0
75,Usman Richardson,BAT,24,L,,0,0,0,0.156,0,0,1,1
76,Mitchell Wagner,BAT,18,L,,0,0,0,0.121,0,0,0,0
77,Reeza Rabada,BAT,38,R,,0,0,0,0.714,0,0,0,0
78,Fakhar Zaman,BOWL,30,R,SPIN,1,0,0,0.547,1,0,0,0
79,Maheesh Chandimal,BOWL,23,R,PACE,0,1,0,0.468,1,0,0,0
80,Rovman Mayers,AR,34,R,SPIN,1,0,0,0.37,1,0,0,0
81,Jos Lawrence,BOWL,36,R,PACE,0,1,0,0.95,1,1,0,0
82,Harry Overton,BOWL,23,R,SPIN,1,0,0,0.326,0,0,0,0
83,Matt Stokes,AR,34,R,PACE,0,1,0,0.749,0,0,0,0
84,Mark Lawrence,BAT,34,L,,0,0,1,0.68,0,0,1,1
85,Prasidh Bawa,BAT,28,L,,0,0,0,0.501,0,0,1,1
86,Stuart Archer,BAT,31,R,,0,0,0,0.401,0,0,0,0
87,Nathan Agar,BOWL,23,R,PACE,0,1,0,0.263,0,0,0,0
88,Matt Kuggeleijn,BOWL,37,R,SPIN,1,0,0,0.476,1,0,0,0
89,Andile Ngidi,BAT,38,R,,0,0,0,0.675,0,0,0,0
90,Babar Azam,BOWL,38,L,PACE,0,1,0,0.702,1,1,0,0
91,Sachith Liyanage,BAT,33,L,,0,0,0,0.692,0,0,1,1
92,Fabian Brooks,BOWL,18,L,SPIN,1,0,0,0.266,1,1,0,0
93,Sam Bairstow,BOWL,25,L,PACE,0,1,0,0.573,0,0,0,0
94,Harry Broad,BOWL,27,L,PACE,0,1,0,0.484,0,0,0,0
95,Ollie Curran,BAT,38,R,,0,0,0,0.51,0,0,0,0
96,James Root,BOWL,29,R,PACE,0,1,0,0.596,1,1,0,0
97,Umesh Patel,BAT,29,R,,0,0,0,0.358,0,0,0,0
98,Liam Carse,BAT,21,R,,0,0,0,0.272,0,0,0,0
99,Tim Philippe,BAT,34,R,,0,0,0,0.75,0,0,0,0
100,Jacob Southee,WK,25,R,,0,0,0,0.527,0,0,1,0
101,Reeza Amla,AR,19,L,SPIN,1,0,0,0.386,1,0,0,0
102,Faheem Iftikhar,BOWL,38,R,SPIN,1,0,0,0.71,1,1,0,0
103,Niroshan Theekshana,BAT,21,L,,0,0,0,0.183,0,0,1,1
104,Nicholas Hetmyer,WK,18,L,,0,0,0,0.325,0,0,1,1
105,Adil Anderson,AR,19,R,SPIN,1,0,1,0.347,1,0,0,0
106,Adil Carse,BOWL,27,R,SPIN,1,0,0,0.359,1,1,0,0
107,Adil Rashid,BOWL,20,R,SPIN,1,0,1,0.177,0,0,0,0
108,Ben Stokes,BAT,35,R,,0,0,0,0.532,0,0,1,1
109,Tilak Mukesh,BAT,28,R,,0,0,0,0.577,0,0,1,0
110,Joe Overton,AR,24,L,PACE,0,1,0,0.4,1,0,1,0
111,David Zampa,BOWL,18,R,PACE,0,1,0,0.413,1,1,0,0
112,Rachin Boult,BAT,28,R,,0,0,0,0.458,0,0,1,0
113,Gerald Rabada,BAT,21,R,,0,0,1,0.331,0,0,0,0
114,Tayyab Shafique,BOWL,38,R,PACE,0,1,0,0.629,1,1,0,0
115,Dilshan Vandersay,BAT,24,R,,0,0,0,0.347,0,0,0,0
116,Roston Shepherd,AR,27,R,SPIN,1,0,0,0.224,0,0,0,0
117,James Potts,BOWL,18,R,SPIN,1,0,0,0.232,1,1,0,0
118,Matt Woakes,BOWL,20,R,PACE,0,1,1,0.306,1,1,0,0
119,Jason Roy,BOWL,22,R,SPIN,1,0,0,0.284,0,0,0,0
120,Joe Curran,BOWL,19,R,SPIN,1,0,0,0.299,1,1,0,0
121,Hardik Sundar,BOWL,33,R,PACE,0,1,1,0.634,1,1,0,0
122,Jonny Potts,BOWL,37,R,PACE,0,1,1,0.753,0,0,0,0
123,Travis Richardson,BAT,38,R,,0,0,0,0.587,0,0,1,1
124,Devon Tickner,BOWL,23,R,PACE,0,1,0,0.415,0,0,0,0
125,Reeza Ngidi,BAT,34,R,,0,0,1,0.642,0,0,0,0
126,Usman Saleem,BOWL,28,R,SPIN,1,0,0,0.386,1,1,0,0
127,Pathum Kumara,BAT,18,R,,0,0,0,0.194,0,0,1,1
128,Alzarri Sammy,BAT,19,R,,0,0,0,0.267,0,0,0,0
129,Ollie Root,BAT,29,R,,0,0,1,0.387,0,0,0,0
130,Chris Bethell,BOWL,26,L,PACE,0,1,1,0.508,0,0,0,0
131,Jamie Ali,BAT,18,R,,0,0,0,0.392,0,0,0,1
132,Rehan Wood,AR,37,L,SPIN,1,0,0,0.621,1,1,1,1
133,Shubman Jadeja,BOWL,33,R,SPIN,1,0,0,0.531,0,0,0,0
134,Jamie Potts,BAT,28,R,,0,0,0,0.471,0,0,0,0
135,Marcus Warner,BOWL,38,L,PACE,0,1,1,0.767,1,1,0,0
136,Kane Taylor,BAT,38,L,,0,0,0,0.643,0,0,0,0
137,Ryan Nortje,WK,38,L,,0,0,0,0.687,0,0,0,0
138,Naseem Saleem,BOWL,23,R,SPIN,1,0,0,0.391,0,0,0,0
139,Dimuth Rajapaksa,AR,36,L,PACE,0,1,0,0.752,0,0,0,0
140,Darren Bravo,BAT,28,R,,0,0,1,0.415,0,0,1,1
141,Brydon Salt,BOWL,33,R,SPIN,1,0,0,0.676,1,1,0,0
142,Brydon Root,BOWL,36,R,SPIN,1,0,1,0.613,1,1,0,0
143,Brydon Potts,AR,21,L,PACE,0,1,0,0.44,0,0,0,0
144,Chris Rashid,BOWL,27,R,SPIN,1,0,0,0.314,0,0,0,0
145,Jasprit Iyer,BOWL,20,L,PACE,0,1,0,0.33,1,1,0,0
146,Stuart Pope,BAT,23,R,,0,0,0,0.381,0,0,1,0
147,Scott Labuschagne,BAT,26,L,,0,0,0,0.411,0,0,1,1
148,Ross O'Rourke,BOWL,35,R,SPIN,1,0,0,0.577,0,0,0,0
149,Temba Fortuin,BOWL,36,L,PACE,0,1,0,0.76,1,0,0,0
150,Wahab Ahmed,BAT,26,R,,0,0,0,0.236,0,0,0,0
151,Dasun Mendis,AR,24,R,SPIN,1,0,0,0.366,0,0,0,0
152,Kevin Hetmyer,AR,29,R,SPIN,1,0,0,0.62,1,1,1,0
153,Jason Curran,BAT,37,R,,0,0,0,0.74,0,0,1,1
154,Jos Root,BOWL,38,R,PACE,0,1,0,0.62,0,0,0,0
155,Jack Crawley,BAT,22,R,,0,0,1,0.331,0,0,1,1
156,Jason Potts,BOWL,21,R,SPIN,1,0,0,0.29,1,0,0,0
157,Arshdeep Bumrah,BAT,32,R,,0,0,0,0.75,0,0,0,0
158,Harry Bairstow,BOWL,24,R,SPIN,1,0,0,0.299,1,0,0,0
159,Marcus Smith,BOWL,22,L,PACE,0,1,1,0.485,1,1,0,0
160,Ross Ravindra,AR,18,R,PACE,0,1,0,0.202,0,0,0,0
161,Vernon Mulder,BAT,26,L,,0,0,0,0.346,0,0,1,1
162,Tayyab Khushdil,AR,26,L,PACE,0,1,1,0.404,0,0,0,0
163,Thisara Hasaranga,BAT,29,R,,0,0,0,0.504,0,0,0,0
164,Roston Brooks,BAT,22,R,,0,0,1,0.153,0,0,0,0
165,Jofra Salt,BOWL,33,R,PACE,0,1,0,0.635,0,0,0,0
166,Ollie Stokes,BAT,32,R,,0,0,1,0.379,0,0,1,0
167,Zak Root,AR,27,R,PACE,0,1,1,0.57,0,0,0,0
168,Dom Root,AR,21,R,PACE,0,1,1,0.481,1,1,1,1
169,Rishabh Sundar,BAT,28,R,,0,0,0,0.487,0,0,1,1
170,Jofra Buttler,WK,32,R,,0,0,1,0.399,0,0,1,0
171,Marnus Tye,BAT,25,L,,0,0,1,0.379,0,0,0,0
172,Neil Ravindra,BOWL,23,R,PACE,0,1,0,0.635,0,1,0,0
173,Tabraiz de Zorzi,BAT,28,R,,0,0,0,0.476,0,0,0,0
174,Imam Rizwan,AR,25,L,SPIN,1,0,1,0.355,0,0,0,0
175,Kasun de Silva,BAT,26,R,,0,0,0,0.491,0,0,1,1
176,Odean Gayle,BAT,25,R,,0,0,0,0.44,0,0,0,0
177,Craig Crawley,BOWL,24,L,SPIN,1,0,0,0.355,0,0,0,0
178,Rehan Root,WK,33,R,,0,0,0,0.52,0,0,1,1
179,Jonny Ali,AR,27,R,PACE,0,1,0,0.493,0,0,0,0
180,Jamie Wood,BOWL,27,R,PACE,0,1,0,0.357,0,0,0,0
181,Tilak Gill,AR,31,L,PACE,0,1,0,0.699,0,0,0,0
182,Ollie Crawley,AR,25,R,SPIN,1,0,1,0.394,0,0,0,0
183,Aaron Boland,BOWL,20,R,SPIN,1,0,0,0.02,0,0,0,0
184,Colin Blundell,BAT,35,R,,0,0,0,0.539,0,0,0,0
185,Gerald Markram,AR,19,R,PACE,0,1,0,0.22,0,0,0,0
186,Salman Shah,BOWL,30,R,PACE,0,1,1,0.562,1,1,0,0
187,Pathum Rajitha,BAT,23,L,,0,0,1,0.445,0,0,0,1
188,Kyle Motie,BAT,22,L,,0,0,0,0.379,0,0,0,0
189,Jason Brook,BOWL,18,R,SPIN,1,0,0,0.472,1,1,0,0
190,Mark Ahmed,BAT,36,R,,0,0,0,0.499,0,0,1,0
191,Jamie Carse,AR,27,R,PACE,0,1,0,0.432,1,1,1,0
192,Tom Brook,BAT,25,R,,0,0,0,0.44,0,0,1,0
193,Prasidh Iyer,BAT,33,R,,0,0,0,0.443,0,0,0,0
194,Tom Potts,AR,18,R,PACE,0,1,0,0.198,1,1,0,0
195,Steve Green,BAT,29,R,,0,0,0,0.337,0,0,0,0
196,Mark Taylor,BAT,28,R,,0,0,0,0.442,0,0,1,1
197,Tabraiz Rickelton,BOWL,29,R,PACE,0,1,1,0.426,0,0,0,0
198,Asif Zaman,AR,20,R,SPIN,1,0,0,0.334,0,0,0,1
199,Suranga Mendis,BAT,38,R,,0,0,0,0.612,0,0,1,0
200,Nicholas Athanaze,BAT,23,L,,0,0,0,0.225,0,0,0,0
201,Matt Overton,AR,32,L,PACE,0,1,1,0.789,1,1,0,0
202,Jamie Salt,WK,33,L,,0,0,0,0.537,0,0,0,0
203,Matt Rashid,BOWL,25,L,PACE,0,1,0,0.293,0,0,0,0
204,Craig Wood,BAT,20,R,,0,0,0,0.085,0,0,0,0
205,Hardik Chahal,BAT,24,L,,0,0,0,0.237,0,0,0,0
206,Liam Archer,BAT,34,R,,0,0,1,0.5,0,0,1,1
207,Matthew Starc,BAT,37,R,,0,0,0,0.494,0,0,0,0
208,Daryl Boult,BOWL,37,R,PACE,0,1,0,0.701,0,0,0,0
209,Marco Hendricks,BAT,22,R,,0,0,0,0.32,0,0,0,0
210,Saim Rizwan,BOWL,30,R,SPIN,1,0,0,0.509,0,0,0,0
211,Isuru Kumara,BOWL,21,R,PACE,0,1,0,0.442,1,1,0,0
212,Fabian Bravo,BOWL,32,R,PACE,0,1,0,0.542,0,1,0,0
213,Tom Ali,BAT,26,L,,0,0,0,0.357,0,0,0,0
214,Mark Overton,AR,32,R,SPIN,1,0,0,0.617,1,1,0,0
215,Jofra Ahmed,BOWL,32,R,PACE,0,1,1,0.704,1,0,0,0
216,James Crawley,BOWL,38,L,PACE,0,1,1,0.752,1,1,0,0
217,Rinku Siraj,BAT,28,R,,0,0,1,0.467,0,0,1,0
218,Liam Crawley,BAT,25,R,,0,0,0,0.426,0,0,0,0
219,Steve Smith,AR,29,R,PACE,0,1,0,0.419,0,0,0,0
220,Colin Latham,BOWL,21,R,SPIN,1,0,0,0.245,0,0,0,0
221,Wiaan du Plessis,BAT,20,R,,0,0,1,0.297,0,0,1,1
222,Danish Afridi,BOWL,28,L,PACE,0,1,0,0.638,1,1,0,0
223,Dinesh Chameera,BOWL,35,L,SPIN,1,0,0,0.57,1,1,0,0
224,Shai Bravo,WK,29,R,,0,0,0,0.471,0,0,0,0
225,Harry Anderson,BAT,34,R,,0,0,1,0.467,0,0,0,0
226,Matt Ahmed,AR,21,L,PACE,0,1,1,0.401,1,1,0,0
227,Jonny Archer,BAT,27,R,,0,0,1,0.409,0,0,1,0
228,Jason Overton,BOWL,30,R,PACE,0,1,0,0.528,0,0,0,0
229,Rishabh Bishnoi,BOWL,25,R,SPIN,1,0,0,0.386,1,1,0,0
230,Jamie Crawley,BAT,18,R,,0,0,0,0.23,0,0,0,0
231,Matthew Stoinis,BAT,19,R,,0,0,0,0.16,0,0,0,0
232,Neil Chapman,BOWL,37,R,SPIN,1,0,1,0.564,1,1,0,0
233,Reeza Nortje,WK,30,R,,0,0,0,0.289,0,0,0,0
234,Agha Nawaz,BOWL,23,R,SPIN,1,0,0,0.516,1,1,0,0
235,Nuwan Chameera,AR,23,R,PACE,0,1,0,0.362,0,0,0,0
236,Alzarri Russell,AR,18,R,PACE,0,1,0,0.261,1,0,0,0
237,Matt Anderson,BOWL,37,L,PACE,0,1,0,0.696,0,0,0,0
238,Jos Stokes,AR,20,R,SPIN,1,0,0,0.337,1,1,0,0
239,Jofra Root,BAT,33,R,,0,0,1,0.396,0,0,1,1
240,Brydon Anderson,BAT,23,R,,0,0,0,0.163,0,0,0,1
241,Suryakumar Iyer,AR,25,L,SPIN,1,0,0,0.407,0,0,0,0
242,Jason Carse,AR,23,R,SPIN,1,0,0,0.412,0,0,0,0
243,Peter Short,BAT,35,L,,0,0,0,0.685,0,0,1,1
244,Tom Wagner,BOWL,18,R,PACE,0,1,0,0.203,0,0,0,0
245,Reeza Williams,BOWL,25,R,PACE,0,1,1,0.442,1,1,0,0
246,Agha Irfan,AR,23,R,PACE,0,1,0,0.401,0,0,0,0
247,Pathum Rajapaksa,BOWL,23,R,SPIN,1,0,1,0.065,0,0,0,0
248,Kyle Holder,BOWL,22,L,PACE,0,1,0,0.312,0,0,0,0
249,Liam Bairstow,BAT,37,L,,0,0,0,0.65,0,0,0,0
250,Joe Root,BOWL,25,R,SPIN,1,0,0,0.481,1,1,0,0
251,Ollie Wood,BOWL,26,L,PACE,0,1,0,0.492,0,0,0,0
252,Chris Archer,AR,26,R,PACE,0,1,1,0.561,0,0,0,0
253,Suryakumar Kishan,BOWL,38,R,PACE,0,1,0,0.916,1,1,0,0
254,Jack Stokes,BAT,25,R,,0,0,0,0.519,0,0,1,0
255,Andrew Boland,BAT,25,R,,0,0,0,0.383,0,0,1,1
256,Devon Kuggeleijn,BOWL,24,L,PACE,0,1,1,0.534,1,1,0,0
257,Hashim Klaasen,AR,24,R,SPIN,1,0,0,0.119,0,0,0,0
258,Asif Saleem,BAT,19,R,,0,0,1,0.289,0,0,1,0
259,Maheesh Mathews,BAT,30,R,,0,0,0,0.556,0,0,0,0
260,Kieran Sammy,BOWL,18,R,PACE,0,1,1,0.238,1,1,0,0
261,Tom Woakes,BAT,22,R,,0,0,0,0.184,0,0,1,0
262,Brydon Buttler,AR,22,R,SPIN,1,0,0,0.481,0,0,0,0
263,Jamie Buttler,BAT,24,R,,0,0,1,0.394,0,0,1,1
264,Mark Anderson,BAT,33,R,,0,0,0,0.607,0,0,0,0
265,Mohammed Tiwary,AR,30,R,PACE,0,1,0,0.653,1,1,1,1
266,Jonny Rashid,BAT,38,R,,0,0,0,0.782,0,0,0,0
267,Marnus Inglis,BAT,25,R,,0,0,0,0.355,0,0,0,0
268,Daryl Ferguson,BAT,37,L,,0,0,0,0.56,0,0,1,0
269,Hashim Ngidi,BAT,18,L,,0,0,0,0.181,0,0,1,1
270,Zafar Zaman,BAT,28,R,,0,0,1,0.359,0,0,0,0
271,Dhananjaya Dickwella,BAT,34,L,,0,0,1,0.371,0,0,0,0
272,Dwayne Athanaze,BAT,29,R,,0,0,0,0.497,0,0,0,0
273,Tom Ahmed,BAT,37,R,,0,0,0,0.654,0,0,0,0
274,Jamie Bairstow,BOWL,24,R,SPIN,1,0,1,0.443,1,1,0,0
275,Sam Rashid,BOWL,18,R,SPIN,1,0,0,0.098,1,1,0,0
276,Adil Potts,BOWL,34,L,SPIN,1,0,0,0.695,1,1,0,0
277,Yuzvendra Dube,BAT,19,R,,0,0,0,0.293,0,0,0,0
278,Matt Lawrence,BOWL,34,R,SPIN,1,0,0,0.674,1,1,0,0
279,Andrew Tye,AR,33,R,PACE,0,1,0,0.581,1,0,0,0
280,Daryl Ravindra,AR,35,R,PACE,0,1,0,0.86,1,1,0,0
281,Rassie Philander,BAT,28,R,,0,0,1,0.518,0,0,0,0
282,Agha Saleem,BAT,36,R,,0,0,0,0.63,0,0,0,0
283,Maheesh Perera,BAT,21,R,,0,0,0,0.49,0,0,1,1
284,Fabian Pollard,BAT,27,R,,0,0,0,0.431,0,0,1,1
285,Dom Roy,BOWL,20,R,SPIN,1,0,0,0.331,1,1,0,0
286,Zak Anderson,BOWL,34,R,PACE,0,1,1,0.608,0,0,0,0
287,Zak Buttler,BAT,32,R,,0,0,0,0.629,0,0,0,0
288,Zak Ahmed,BAT,34,R,,0,0,1,0.515,0,0,0,0
289,Ravindra Yadav,BOWL,34,R,PACE,0,1,0,0.718,1,1,0,0
290,Zak Wood,BAT,24,R,,0,0,0,0.344,0,0,0,0
291,Mitchell Maxwell,AR,19,R,SPIN,1,0,0,0.215,0,0,1,0
292,Henry Conway,BAT,37,L,,0,0,0,0.462,0,0,0,0
293,Dean Steyn,AR,28,R,SPIN,1,0,1,0.262,0,1,0,0
294,Saim Butt,BAT,19,R,,0,0,0,0.199,0,0,0,0
295,Kasun Asalanka,AR,37,R,PACE,0,1,0,0.768,1,1,0,0
296,Obed Gayle,AR,38,L,PACE,0,1,0,0.572,1,0,0,0
297,Stuart Brook,WK,27,L,,0,0,0,0.537,0,0,0,0
298,Jack Lawrence,AR,34,R,SPIN,1,0,1,0.533,0,0,0,0
299,Sam Ali,AR,18,R,PACE,0,1,0,0.329,1,1,1,1
300,Ben Anderson,BOWL,19,R,SPIN,1,0,0,0.296,0,0,0,0
301,Rishabh Pandya,AR,23,L,SPIN,1,0,0,0.369,1,1,0,0
302,Jofra Pope,BAT,31,R,,0,0,0,0.498,0,0,0,0
303,Peter Khawaja,BOWL,20,R,PACE,0,1,0,0.275,1,1,0,0
304,Kane Blundell,BOWL,18,L,PACE,0,1,0,0.19,1,0,0,0
305,Lungi Fortuin,AR,32,R,PACE,0,1,0,0.636,1,1,0,0
306,Saud Khan,BOWL,34,R,SPIN,1,0,0,0.66,1,1,0,0
307,Angelo Hasaranga,BOWL,33,R,SPIN,1,0,0,0.654,1,1,0,0
308,Sunil McCoy,BOWL,34,R,SPIN,1,0,1,0.489,0,0,0,0
309,Matt Brook,BAT,34,R,,0,0,0,0.563,0,0,0,0
310,Tom Lawrence,BAT,30,R,,0,0,0,0.518,0,0,1,0
311,Moeen Potts,BOWL,28,L,SPIN,1,0,0,0.322,0,0,0,0
312,Harry Root,BOWL,35,L,SPIN,1,0,0,0.626,1,1,0,0
313,Shubman Yadav,BAT,25,R,,0,0,1,0.257,0,0,0,0
314,Jamie Rashid,BAT,20,R,,0,0,0,0.106,0,0,0,0
315,Cooper Turner,BAT,33,R,,0,0,0,0.398,0,0,0,0
316,Kane Boult,BAT,23,R,,0,0,1,0.382,0,0,1,0
317,Tony Maharaj,BAT,38,L,,0,0,1,0.579,0,0,0,0
318,Agha Shakeel,BOWL,26,R,PACE,0,1,1,0.453,0,0,0,0
319,Dinesh Lakmal,BAT,35,R,,0,0,0,0.506,0,0,0,0
320,Kieran Bravo,WK,18,R,,0,0,0,0.107,0,0,0,0
321,Matt Crawley,AR,31,R,PACE,0,1,0,0.527,0,0,0,0
322,Chris Anderson,BOWL,27,R,PACE,0,1,0,0.427,0,1,0,0
323,Jos Bairstow,BAT,27,R,,0,0,0,0.337,0,0,0,0
324,Jofra Potts,BOWL,23,L,SPIN,1,0,1,0.196,1,1,0,0
325,Prasidh Shaw,AR,38,R,SPIN,1,0,0,0.599,0,0,0,0
326,Dom Curran,BOWL,26,L,PACE,0,1,0,0.441,0,0,0,0
327,Marcus Maxwell,AR,35,R,SPIN,1,0,0,0.532,1,1,0,0
328,Colin Williamson,BOWL,26,L,PACE,0,1,0,0.576,0,0,0,0
329,Tony Mulder,BOWL,19,R,SPIN,1,0,0,0.273,1,1,0,0
330,Sarfaraz Rizwan,BAT,36,R,,0,0,0,0.588,0,0,1,1
331,Nuwan Udana,BOWL,21,L,PACE,0,1,0,0.393,1,1,0,0
332,Jayden Mayers,BAT,23,R,,0,0,0,0.5,0,0,0,0
333,Liam Wood,BOWL,36,R,PACE,0,1,0,0.716,0,0,0,0
334,Jason Pope,AR,36,R,PACE,0,1,0,0.778,0,0,1,0
335,Brydon Crawley,BAT,37,R,,0,0,0,0.755,0,0,1,1
336,Ollie Ali,BOWL,26,R,PACE,0,1,0,0.332,0,0,0,0
337,Rishabh Siraj,BAT,33,R,,0,0,0,0.643,0,0,1,0
338,Jos Salt,BOWL,24,L,PACE,0,1,0,0.463,1,1,0,0
339,Marcus Carey,BAT,33,R,,0,0,0,0.456,0,0,1,1
340,Kane Duffy,AR,28,R,SPIN,1,0,1,0.368,0,0,0,0
341,Reeza Jansen,BAT,19,R,,0,0,0,0.34,0,0,0,0
342,Yasir Shakeel,WK,26,L,,0,0,0,0.364,0,0,1,1
343,Thisara Karunaratne,AR,27,R,PACE,0,1,1,0.421,0,0,0,0
344,Roston Sammy,BOWL,23,R,PACE,0,1,1,0.417,0,0,0,0
345,Jofra Anderson,AR,25,R,PACE,0,1,0,0.581,1,0,0,0
346,Dom Bethell,AR,28,R,PACE,0,1,0,0.472,0,0,0,0
347,Ben Wood,WK,19,L,,0,0,1,0.147,0,0,0,0
348,Brydon Ali,BAT,21,R,,0,0,0,0.19,0,0,1,1
