player_id,matches,player_name,country,domestic_team,batting_style,bowling_style,dominant_hand,primary_role,secondary_role,height_cm,weight_kg,debut_year,experience_years,matches_test,matches_odi,matches_t20,matches_fc,matches_listA,runs,balls_faced_est,runs_per_match,batting_average_est,strike_rate,dot_ball_pct,boundary_pct,boundary_runs_est,fours_est,sixes_est,balls_per_boundary_est,boundary_ball_pct_est,singles_doubles_runs_est,rotation_index,dismissals_est,not_outs_est,fifty_plus_rate_est,century_rate_est,pp_runs,middle_runs_est,death_runs,powerplay_run_share_pct,middle_run_share_pct,death_run_share_pct,pp_sr,middle_sr,death_sr,acceleration_index,phase_balance_index,powerplay_batting_index,middle_overs_batting_index,death_finishing_index,pressure_batting_index,anchor_index,power_hitter_index,red_ball_batting_fit,white_ball_batting_fit,batting_impact_score,batting_rating,wickets,overs_bowled_est,balls_bowled_est,runs_conceded_est,wkts_per_match,bowling_average_est,economy,bowling_strike_rate_est,dot_balls_bowled_est,pp_wkts,middle_wkts_est,death_wkts,pp_eco,middle_eco,death_eco,pp_over_share_pct,middle_over_share_pct,death_over_share_pct,powerplay_bowling_index,middle_overs_bowling_index,death_bowling_index,economy_control_index,wicket_impact_index,new_ball_threat_index,closing_bowler_index,red_ball_bowling_fit,white_ball_bowling_fit,bowling_impact_score,bowling_rating,catches_est,runouts_est,stumpings_est,fielding_rating,availability_score,durability_index,workload_index,last10_bat_avg_est,last10_bowl_avg_est,recent_runs_est,recent_wkts_est,batting_form_index,bowling_form_index,consistency_index,allrounder_index,clutch_index,versatility_index,match_impact_score,county_red_ball_fit,county_white_ball_fit,format_specialism,upside_score,risk_score,market_value_index,salary_band_est,scouting_grade_num,scouting_grade,analyst_recommendation
17,97,Faf Parnell,South Africa,Middlesex,LHB,Right-arm leg-spin,Left,Bowler,Lower-order hitter,170,65,2009,17,13,17,31,17,19,57,52.1,0.59,0.63,109.4,40.3,7.5,4.3,1,0,52.1,1.92,53,101.72,91.0,6.0,0.0,0.19,24,18,15,42.11,31.58,26.32,100.2,113.4,128.2,71.47,81.79,71.77,90.03,79.53,76.12,82.51,61.37,57.57,84.54,43.97,57.51,98,427.6,2565,3749.8,1.01,38.26,8.77,26.18,1034,28,52,18,8.51,8.08,8.57,28.0,50.0,22.0,53.83,69.77,59.3,69.4,86.25,33.72,43.37,75.41,61.97,100.0,84.35,23,5,0,89.45,78,79.47,26.98,0.65,37.11,6,10,43.13,46.89,82.15,58.93,72.58,73.47,81.07,77.43,65.16,Red-ball leaning,66.43,33.49,74.23,Strong squad asset,77.16,B+,Shortlist
18,34,Saim Aslam,Pakistan,Leicestershire,RHB,Medium pace,Right,Utility,Flexible,181,70,2013,13,4,6,12,5,7,188,166.2,5.53,6.06,113.1,42.5,20.5,38.5,5,3,20.78,4.81,150,90.24,31.0,3.0,0.0,1.82,80,68,40,42.55,36.17,21.28,112.9,108.8,126.4,60.35,76.55,77.2,86.0,78.98,72.15,83.11,89.52,68.0,94.08,55.94,68.49,0,12.5,75,121.1,0.0,0.0,9.71,0.0,32,0,0,0,9.38,9.51,10.53,28.0,50.0,22.0,46.46,58.17,41.36,57.56,100.0,23.58,28.95,72.6,49.11,67.25,64.05,10,3,0,94.69,86,88.27,7.09,5.34,0.0,47,0,37.67,41.23,72.06,66.27,62.89,72.5,64.96,70.83,68.99,Balanced multi-format,84.41,15.06,70.63,Strong squad asset,66.94,B,Monitor
19,12,Niroshan Udana,Sri Lanka,Lancashire,LHB,Right-arm off-spin,Left,Utility,Flexible,166,75,2015,11,1,2,4,1,4,54,42.3,4.5,4.91,127.8,38.9,10.4,5.6,1,0,42.25,2.37,50,118.33,11.0,1.0,0.0,0.0,17,27,10,31.48,50.0,18.52,130.6,119.6,137.1,54.98,68.0,82.01,100.0,82.52,75.05,100.0,70.86,75.38,94.87,57.72,71.42,6,28.4,170,221.5,0.5,36.92,7.8,28.4,66,2,2,2,7.65,7.7,8.4,28.0,50.0,22.0,59.14,70.08,60.07,82.14,62.25,40.48,43.72,71.56,68.67,84.36,77.24,6,1,0,100.0,86,86.8,17.72,4.42,34.58,40,6,38.78,48.98,64.44,74.33,67.9,75.33,72.98,70.76,77.61,Balanced multi-format,70.89,18.39,73.38,Strong squad asset,73.46,B+,Shortlist
20,53,Fabian Thomas,West Indies,Yorkshire,RHB,Right-arm pace,Right,Bowler,Lower-order hitter,177,80,2014,12,7,9,16,9,12,217,209.7,4.09,4.34,103.5,41.6,13.8,29.9,4,2,34.94,2.86,189,90.15,50.0,3.0,0.0,1.3,76,66,75,35.02,30.41,34.56,104.8,95.1,115.7,58.36,92.83,71.1,77.69,76.07,69.24,79.93,70.93,68.95,84.13,49.45,63.0,72,307.4,1845,2302.7,1.36,31.98,7.49,25.62,767,30,22,20,7.07,7.44,7.77,28.0,50.0,22.0,67.8,75.58,68.43,88.1,100.0,48.9,51.68,88.51,76.14,100.0,91.16,14,4,0,92.5,84,82.53,38.76,3.99,29.42,39,12,38.65,60.14,78.77,65.08,71.38,83.31,84.36,85.59,74.71,Red-ball leaning,87.75,21.29,83.28,High-value starter,82.67,A,Priority target
21,39,Jonny Anderson,Bangladesh,Essex,LHB,Left-arm pace,Left,Bowler,Lower-order hitter,188,64,2016,10,5,7,12,7,8,78,54.4,2.0,2.11,143.4,37.5,17.7,13.8,2,1,18.13,5.52,64,117.66,37.0,2.0,0.0,0.63,24,37,17,30.77,47.44,21.79,144.5,136.4,166.8,67.1,73.13,88.29,100.0,100.0,86.15,90.9,97.37,65.14,100.0,57.83,70.2,67,282.3,1694,2103.1,1.72,31.39,7.45,25.28,635,19,37,11,7.26,7.94,7.82,27.63,50.37,22.0,63.34,70.02,65.47,86.2,100.0,46.56,48.65,86.18,73.23,100.0,89.85,11,2,0,93.05,82,79.6,44.83,1.98,32.02,20,17,42.11,59.92,67.64,68.03,75.32,79.93,82.89,80.62,73.86,Balanced multi-format,71.53,26.5,78.24,High-value starter,80.63,A,Shortlist
22,68,Jofra Brook,Afghanistan,Gloucestershire,RHB,Right-arm off-spin,Right,Utility,Flexible,173,69,2015,11,8,13,24,10,13,578,497.4,8.5,9.32,116.2,38.0,11.2,64.7,13,2,33.16,3.02,514,103.33,62.0,6.0,0.0,2.8,208,235,135,35.99,40.66,23.36,103.0,126.9,120.8,63.65,80.71,71.35,99.45,75.13,73.94,99.45,66.98,86.08,87.06,64.18,75.38,15,84.9,510,771.2,0.22,51.41,9.08,33.97,194,6,4,5,9.11,9.28,10.5,28.0,50.0,22.0,46.45,56.2,40.11,63.68,44.15,26.72,28.82,54.6,51.12,57.83,55.34,18,4,0,90.96,88,92.53,14.81,8.95,51.58,89,2,49.46,44.44,79.78,65.36,65.25,71.65,61.49,73.17,67.94,Balanced multi-format,87.96,10.44,69.4,Strong squad asset,65.11,B,Monitor
23,14,Zak Curran,Ireland,Durham,LHB,Left-arm orthodox,Left,Utility,Flexible,184,74,2019,7,1,2,5,2,4,231,156.4,16.5,17.77,147.7,27.8,16.7,38.6,7,2,17.38,5.75,191,122.12,13.0,1.0,0.0,0.0,72,111,48,31.17,48.05,20.78,153.7,132.5,140.9,40.18,71.9,94.51,100.0,86.23,74.68,100.0,86.34,100.0,100.0,91.21,95.6,4,21.1,127,185.6,0.29,46.39,8.78,31.7,35,1,2,1,8.02,8.3,8.79,28.0,50.0,22.0,48.95,55.19,50.9,61.76,49.28,36.39,36.34,55.42,54.76,62.98,59.03,6,1,0,100.0,86,86.93,20.23,17.41,45.77,182,3,61.08,47.97,66.5,77.32,65.5,75.01,61.77,74.35,73.82,Balanced multi-format,75.3,17.6,67.56,Strong squad asset,66.7,B,Monitor
24,10,Harry Ali,Zimbabwe,Warwickshire,RHB,Left-arm orthodox,Right,Bowler,Lower-order hitter,169,79,2020,6,1,1,3,1,4,54,40.8,5.4,5.4,132.2,34.4,17.6,9.5,2,0,20.42,4.9,46,112.61,10.0,0.0,0.0,0.0,22,15,17,40.74,27.78,31.48,120.8,133.8,131.5,58.21,84.52,81.74,100.0,84.41,77.38,96.15,84.74,77.12,100.0,61.22,74.89,12,51.7,310,434.5,1.2,36.21,8.41,25.83,107,4,6,2,7.87,7.89,8.93,28.0,50.0,22.0,56.08,66.24,53.51,70.9,94.45,40.37,39.46,77.75,61.11,100.0,84.71,4,2,0,99.6,82,77.67,35.08,5.4,35.12,46,14,53.19,46.59,70.14,67.8,68.41,80.47,78.45,75.46,63.3,Red-ball leaning,92.03,26.5,78.81,High-value starter,74.82,B+,Shortlist
25,55,Shreyas Dube,India,Somerset,LHB,Right-arm pace,Left,Bowler,Lower-order hitter,180,84,2019,7,7,9,17,9,13,263,246.3,4.78,5.06,106.8,45.1,9.9,26.0,5,1,41.04,2.44,237,96.24,52.0,3.0,0.0,1.52,90,123,50,34.22,46.77,19.01,103.9,104.8,106.6,52.07,72.02,69.71,88.15,65.82,64.09,86.1,59.13,69.01,78.15,50.88,62.23,66,284.2,1705,2355.7,1.2,35.69,8.29,25.83,769,27,20,19,8.28,8.2,9.62,28.0,50.0,22.0,59.77,72.44,53.13,79.0,94.45,37.41,40.65,82.44,65.14,100.0,86.89,14,3,0,89.55,84,82.67,35.48,5.16,34.03,43,11,46.73,49.29,75.55,62.56,63.67,73.5,79.39,80.37,64.7,Red-ball leaning,77.11,22.36,75.88,High-value starter,76.65,B+,Shortlist
26,93,Jack Ali,England,Kent,RHB,Left-arm orthodox,Right,Utility,Flexible,165,68,2018,8,12,18,33,14,16,306,291.4,3.29,3.64,105.0,44.1,9.9,30.3,6,1,41.63,2.4,276,94.71,84.0,9.0,0.0,1.09,119,133,54,38.89,43.46,17.65,106.8,109.8,106.0,49.39,69.29,72.85,89.44,65.08,63.43,82.32,58.9,60.24,77.2,46.83,57.77,10,74.1,445,723.2,0.11,72.32,9.76,44.46,196,4,3,3,9.27,9.8,9.79,28.0,50.0,22.0,48.56,57.42,48.96,57.82,31.29,24.91,34.6,48.41,52.4,49.6,50.01,23,6,0,91.68,88,94.2,7.91,3.79,67.74,31,1,47.78,31.5,82.72,53.89,63.91,61.96,58.39,62.85,64.53,Balanced multi-format,90.54,8.66,67.66,Strong squad asset,60.51,C+,Monitor
27,41,Alex Zampa,Australia,Sussex,LHB,Right-arm leg-spin,Left,Bowler,Lower-order hitter,176,73,2021,5,5,7,13,7,9,87,68.5,2.12,2.23,127.0,34.8,10.0,8.7,2,0,34.25,2.92,79,115.32,39.0,2.0,0.0,0.67,37,22,28,42.53,25.29,32.18,127.2,125.4,128.2,50.77,80.94,85.17,97.85,81.67,73.9,94.17,66.87,68.63,93.09,51.57,66.21,58,247.0,1482,1971.3,1.41,33.99,7.98,25.56,516,25,13,20,7.66,8.33,8.38,28.0,50.0,22.0,59.26,61.95,60.65,77.16,100.0,43.94,47.34,80.59,66.91,100.0,86.87,11,2,0,86.6,86,83.73,37.82,1.96,31.27,21,15,35.42,53.78,76.31,64.54,70.53,78.65,81.2,79.31,67.99,Red-ball leaning,79.26,21.61,78.08,High-value starter,78.18,A,Shortlist
28,42,Tom Phillips,New Zealand,Surrey,RHB,Left-arm orthodox,Right,Batter,Part-time bowler,187,78,2008,18,5,8,16,5,8,1237,787.9,29.45,34.36,157.0,34.3,20.0,247.4,38,16,14.59,6.85,989,125.52,36.0,6.0,68.72,10.31,383,623,231,30.96,50.36,18.67,147.4,151.1,164.8,63.34,67.27,90.31,100.0,99.24,85.35,100.0,100.0,100.0,100.0,100.0,100.0,7,43.4,260,260.4,0.17,37.2,6.0,37.2,89,3,2,2,5.54,6.61,6.62,28.0,50.0,22.0,72.69,74.18,73.19,100.0,38.92,58.71,51.71,70.88,83.79,76.51,76.92,15,3,0,100.0,86,88.8,24.96,30.93,37.94,309,2,57.0,50.31,70.88,76.46,78.08,82.75,90.15,91.26,93.43,Balanced multi-format,92.18,15.23,91.31,Elite / overseas-standard,91.03,A+,Priority target
